candle_begin_time,open,high,low,close,volume
2019-06-14 08:00:00,254.67,264.26,251.75,262.47,327383.28236
2019-06-15 08:00:00,262.48,272.27,260.61,267.82,286594.98029
2019-06-16 08:00:00,267.78,277.06,263.31,267.73,458176.54236
2019-06-17 08:00:00,267.73,276.0,266.81,273.16,339277.66707
2019-06-18 08:00:00,273.14,273.58,261.45,264.66,319941.55156
2019-06-19 08:00:00,264.68,270.0,263.59,268.14,208375.68381
2019-06-20 08:00:00,268.16,273.63,265.71,271.22,200717.7737
2019-06-21 08:00:00,271.27,295.94,271.22,294.35,519818.06907
2019-06-22 08:00:00,294.25,314.39,289.69,310.79,726254.67061
2019-06-23 08:00:00,310.7,321.7,305.58,308.52,418812.02747
2019-06-24 08:00:00,308.42,314.41,298.0,311.64,352791.26964
2019-06-25 08:00:00,311.65,318.99,307.0,318.26,345559.65047
2019-06-26 08:00:00,318.29,366.8,315.57,339.39,1008551.28721
2019-06-27 08:00:00,339.53,347.0,280.01,298.35,1016826.449
2019-06-28 08:00:00,298.35,313.58,295.22,311.05,529174.47722
2019-06-29 08:00:00,310.95,324.74,295.18,317.62,425555.16264
2019-06-30 08:00:00,317.64,323.5,290.12,292.7,489028.56835
2019-07-01 08:00:00,292.89,303.49,280.13,295.07,489769.27421
2019-07-02 08:00:00,295.03,297.57,272.65,291.48,493772.96579
2019-07-03 08:00:00,291.47,302.89,285.0,301.14,370521.96637
2019-07-04 08:00:00,301.11,302.74,280.53,282.73,270791.36878
2019-07-05 08:00:00,282.86,294.89,280.78,287.47,261139.28341
2019-07-06 08:00:00,287.32,296.71,285.28,288.29,196064.64705
2019-07-07 08:00:00,288.29,309.69,284.25,304.72,246111.36595
2019-07-08 08:00:00,304.72,313.74,300.78,311.97,289607.34177
2019-07-09 08:00:00,311.96,318.19,302.69,307.46,309447.34927
2019-07-10 08:00:00,307.46,314.18,281.04,289.23,457080.94063
2019-07-11 08:00:00,289.23,289.23,262.12,268.63,501592.75211
2019-07-12 08:00:00,268.67,278.99,266.21,274.62,266734.54213
2019-07-13 08:00:00,274.53,275.04,262.2,268.79,205959.26849
2019-07-14 08:00:00,268.8,269.74,222.81,225.85,540052.58421
2019-07-15 08:00:00,225.83,235.58,203.08,228.2,715991.20688
2019-07-16 08:00:00,228.2,234.5,192.25,198.88,715604.83198
2019-07-17 08:00:00,198.94,219.86,191.84,210.81,694854.10132
2019-07-18 08:00:00,210.8,229.65,205.71,225.73,609081.49094
2019-07-19 08:00:00,225.75,226.23,212.52,220.73,371622.21865
2019-07-20 08:00:00,220.84,235.09,219.78,228.2,325393.97225
2019-07-21 08:00:00,228.25,229.66,216.99,225.38,270046.1519
2019-07-22 08:00:00,225.49,228.34,212.25,217.51,271310.40446
2019-07-23 08:00:00,217.59,219.55,208.36,212.48,317876.48242
2019-07-24 08:00:00,212.55,218.28,202.0,216.31,331162.6484
2019-07-25 08:00:00,216.31,225.12,215.23,219.14,280370.29627
2019-07-26 08:00:00,219.14,220.0,212.71,218.81,197781.98653
2019-07-27 08:00:00,218.81,223.3,203.0,207.3,301209.41113
2019-07-28 08:00:00,207.3,213.52,198.24,211.62,218801.16693
2019-07-29 08:00:00,211.58,215.83,206.59,210.89,226941.28
2019-07-30 08:00:00,210.84,214.36,204.4,209.58,222683.79393
